"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"11268","RADMED","BE","RADAAN MEDIAWORKS (I) LIMITED",0.01,1,"","",0,2,"INE874F01027",7.42,1.5,25.4,0.45,"","","",0,0,0,3.64,3.49,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","RADAAN"
"1127","GHCLIM","EQ","GHCL LIMITED",0.01,1,"","",0,10,"INE539A01019",779,434.95,779,6.5,"","","",0,0,0,789,526,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GHCL"
"11271","DRECOR","EQ","DREDGING CORPORATION OF INDIA",0.01,1,"","",0,10,"INE506A01018",1457.95,495.65,1457.95,121,"","","",0,0,0,673.95,449.35,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","DREDGECORP"
"11275","TVTNET","EQ","TVTODAY NETWORK LIMITED",0.01,1,"","",0,5,"INE038F01029",308,147.52,557.95,34,"","","",0,0,0,198.14,132.09,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","TVTODAY"
"11287","UNIP","EQ","UPL LIMITED",0.01,1,"","",0,2,"INE628A01036",658.25,438.04,829.46,0.09,"","","",0,0,0,687.15,562.25,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","UPL"
"11293","UNIENT","EQ","UNIPHOS ENTERPRISES LIMITED",0.01,1,"","",0,2,"INE037A01022",195.5,129.44,572.87,6.23,"","","",0,0,0,173.61,115.74,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","UNIENTER"
"11297","STAIN","EQ","STANDARD INDUSTRIES LIMITED",0.01,1,"","",0,5,"INE173A01025",38.9,18.5,115.5,2,"","","",0,0,0,23.78,15.85,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SIL"
"11301","LUXIND","EQ","LUX INDUSTRIES LIMITED",0.01,1,"","",0,2,"INE150G01020",2493,1071.75,4644,536.2,"","","",0,0,0,1592.45,1061.65,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LUXIND"
"11309","ANARUB","EQ","BALAXI PHARMACEUTICALS LIMITED",0.01,1,"","",0,2,"INE618N01022",151.45,50.42,216.04,2.3,"","","",0,0,0,71.85,47.9,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BALAXI"
"11310","IBHN47","YU","8.65% Indiabulls Hou. Sep 24",0.01,1,"","",0,1000,"INE148I07LX8",0,0,1000,815.2,"","","",0,0,0,1200,800,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","905IH24A"
"11316","IBHN48","YV","9.05% Indiabulls Hou. Sep 24",0.01,1,"","",0,1000,"INE148I07LW0",0,0,1060,815.25,"","","",0,0,0,1264.32,842.88,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","905IHF24"
"11319","LICNIF","EQ","LIC NOMURA MF ETF FD NIFTY50",0.01,1,"","",0,10,"INF767K01OS7",292,203.5,326,62.96,"","","",0,0,0,295.65,197.1,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LICNETFN50"
"11322","IBHN49","YW","0% Indiabulls Hou. Sep 24",0.01,1,"","",0,1000,"INE148I07LY6",0,0,0,0,"","","",0,0,0,1200,800,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","IHFL22A"
"11324","IBHN50","YX","0% Indiabulls Hou. Sep 24",0.01,1,"","",0,1000,"INE148I07LZ3",0,0,1108,764,"","","",0,0,0,1361.46,907.64,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","833IHFL24"
"11325","MUKAND","EQ","MUKAND LTD",0.01,1,"","",0,10,"INE304A01026",192.95,86,409.48,4.96,"","","",0,0,0,122.84,81.89,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MUKANDLTD"
"11328","IBHN51","YY","8.33% Indiabulls Hou. Sep 24",0.01,1,"","",0,1000,"INE148I07MG1",0,0,0,0,"","","",0,0,0,1200,800,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","87IHFL24"
"11333","IBHN52","YZ","8.7% Indiabulls Hou. Sep 24",0.01,1,"","",0,1000,"INE148I07MH9",0,0,1150,840.2,"","","",0,0,0,1171.62,781.08,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","88IHFL25"
"11335","IBHN53","Z1","8.8% Indiabulls Hou. Sep 25",0.01,1,"","",0,1000,"INE148I07MA4",0,0,0,0,"","","",0,0,0,1200,800,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","93IHFL25"
"11337","IBHN54","Z2","9.3% Indiabulls Hou. Sep 25",0.01,1,"","",0,1000,"INE148I07MB2",0,0,1060,900,"","","",0,0,0,1239.56,826.37,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","847IHFL25"
"11339","IBHN55","Z3","0% Indiabulls Hou. Sep 25",0.01,1,"","",0,1000,"INE148I07MF3",0,0,1260,800,"","","",0,0,0,1356,904,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","894IHFL25"
